acc_x_mean,acc_y_mean,acc_z_mean,acc_x_var,acc_y_var,acc_z_var,acc_x_std,acc_y_std,acc_z_std,acc_sum_xyz,acc_max_xyz,acc_min_xyz,acc_abs_sum_mean,gyro_x_mean,gyro_y_mean,gyro_z_mean,gyro_x_var,gyro_y_var,gyro_z_var,gyro_x_std,gyro_y_std,gyro_z_std,gyro_sum_xyz,gyro_max_xyz,gyro_min_xyz,gyro_abs_sum_mean,activity_id
-0.7055575000000001,-0.70125,0.08453250000000001,0.007852447813283208,0.0038786641604010015,0.013669557838345864,0.08861403846616635,0.062278922280342985,0.1169168843167909,-528.91,0.321,-0.872,201.18399999999997,-2.0856600000000003,-8.0367225,-0.9967774999999998,58.987156450526314,444.3239073538784,79.41373392280074,7.680309658505073,21.07899208581564,8.911438375638399,-4447.664,17.927,-103.049,2588.4753333333333,1
-0.6630574999999999,-0.7206625,0.26732500000000003,0.003837101948621553,0.0022438181390977436,0.00216621992481203,0.06194434557424554,0.047368957547087136,0.04654266778786998,-446.55799999999994,0.321,-0.84,220.1393333333333,1.8136949999999998,-0.5459975000000001,2.3225824999999998,20.985012292706767,26.18257035838972,31.458982795181704,4.580940110141888,5.116890692441038,5.608830786820165,1436.1119999999999,17.927,-20.305,1565.5346666666667,1
-0.6842750000000001,-0.6755475000000001,0.33990000000000004,0.0030598640350877177,0.0006544839536340843,0.003513548872180452,0.05531603777466095,0.025582883997588787,0.0592751960956727,-407.96900000000005,0.515,-0.745,226.6296666666667,-0.15881250000000016,-5.6426725,-0.6753350000000001,5.90803270410401,136.53805782480575,9.73365869952381,2.430644503851604,11.684950056581576,3.1198811995849796,-2590.728,6.829,-56.951,1428.7506666666668,1
-0.555655,-0.7171975,0.49249249999999994,0.0016628280451127814,0.0001844997431077697,0.0027403458082706778,0.04077778862460275,0.013583068250869157,0.052348312372708615,-312.144,0.531,-0.765,235.37933333333334,-0.2441575000000001,-5.09621,-0.14100749999999984,6.541960077888471,154.79173475278196,11.38883851372807,2.5577255673524615,12.441532652884128,3.3747353249889196,-2192.5499999999997,12.317,-56.951,1470.7939999999999,1
-0.5707850000000001,-0.7108475,0.4819,0.0007263897493734324,0.0006016684147869681,0.0033647969924812038,0.02695161867816908,0.024528930159853447,0.05800687021794232,-319.89300000000003,0.531,-0.799,235.13766666666666,-0.05381999999999998,2.6010525,-0.9449525,3.0121097720300756,35.19711137317669,15.949674546610279,1.7355430769733362,5.932715345706104,3.993704363947121,640.912,18.354,-13.232,1131.0146666666665,1
-0.5595625,-0.756635,0.41415,0.0005653494674185456,0.00033624238095238156,0.0007894561403508774,0.023777078614046463,0.01833691307042659,0.02809726215044586,-360.8190000000001,0.455,-0.799,230.713,-0.7028749999999999,-1.7968425,-0.6384124999999998,3.471838831453635,36.673059822249364,16.769152684053886,1.8632871038714445,6.055828582634201,4.0950155902088925,-1255.252,17.622,-13.537,1195.5893333333333,1
-0.5446325000000001,-0.7531075,0.4490325,6.996234962406026e-05,3.172525689223063e-05,3.625708646616547e-05,0.008364349922382507,0.005632517811088628,0.0060213857596209085,-339.483,0.466,-0.769,232.90300000000002,0.20189249999999995,-0.9533375,0.3546599999999999,1.3224477803947368,1.3160542091165413,1.2194019442606514,1.1499772955996725,1.1471940590486605,1.104265341419648,-158.714,2.927,-4.695,381.46600000000007,1
-0.548925,-0.7437525,0.4600675,3.0340225563909833e-05,4.99260588972432e-05,4.377738721804513e-05,0.005508196216903482,0.007065837451940372,0.0066164482328546275,-333.044,0.472,-0.761,233.69933333333336,0.251745,-0.9231325000000001,0.65717,0.5290733784210526,0.609026902199248,0.2202788682706767,0.7273743042072992,0.780401756917069,0.4693387564123345,-5.687000000000069,2.012,-2.744,314.9836666666667,1
-0.5557625,-0.73004,0.4763225,2.2737938596491076e-05,5.499087719298256e-05,6.372280075187954e-05,0.004768431460815084,0.0074155834020650435,0.007982656246631165,-323.79200000000003,0.498,-0.747,234.95000000000002,0.5391524999999999,-0.721335,0.49923500000000004,0.4390637335776942,0.23565325591478697,0.24000039075187968,0.6626188448706346,0.4854413001741683,0.48989834736594046,126.821,3.476,-2.378,258.501,1
-0.5652024999999999,-0.71453,0.48962500000000003,2.2156885964911995e-05,3.28512280701755e-05,2.1763784461152922e-05,0.004707110150072122,0.005731599084912996,0.004665167141823852,-316.043,0.502,-0.731,235.91433333333336,0.4326925,-0.5253525,0.4362375,0.5761718124749374,0.20741747192355892,0.4743409334273183,0.7590598214073364,0.4554310836159066,0.6887241344887794,137.431,3.476,-2.744,250.18366666666665,1
-0.5715349999999999,-0.7037625,0.4980775,1.6635363408521326e-05,2.876300125313288e-05,2.035237468671683e-05,0.00407864725227879,0.005363114883454659,0.004511360624769077,-310.888,0.509,-0.718,236.44999999999996,0.46104999999999996,-0.41022500000000006,0.25207999999999997,0.37043665413533833,0.1586670770676692,0.4713207755388471,0.6086350746837864,0.3983303617196023,0.6865280588139476,121.16199999999995,2.317,-2.744,220.7733333333333,1
-0.5767574999999999,-0.6960725,0.50235,1.1116484962406037e-05,2.0869417293233042e-05,8.694235588972447e-06,0.0033341393135869466,0.004568305735525266,0.002948598919651916,-308.19199999999995,0.51,-0.707,236.69066666666663,0.23239249999999997,-0.4652625,0.2901975,0.2832951262593985,0.160857913377193,0.3386604596428571,0.5322547569157071,0.40107095803260673,0.5819454095040678,22.93099999999997,2.317,-2.5,198.43899999999996,1
-0.6039425,-0.734065,0.367715,0.0008717736278195501,0.001712020827067671,0.010186169197994987,0.029525812907006475,0.041376573408967436,0.1009265534831889,-388.11699999999996,0.509,-0.829,227.42966666666666,-1.0639925,4.438825,-1.8365375000000004,4.830218378389724,83.59219885150374,18.566371487312033,2.197775779825987,9.142876946098735,4.3088712544368315,615.3179999999999,47.134,-22.866,1248.33,1
-0.6028525,-0.7836,0.2399725,0.0002878002443609026,0.00020631077694235577,0.00024299422932330824,0.01696467637065036,0.014363522442018037,0.015588272172479805,-458.592,0.297,-0.829,216.85666666666668,-0.4376074999999999,-0.26281499999999985,0.08453250000000004,4.514346825507519,8.614852958170427,22.54879627463033,2.124699231775528,2.9351069755922743,4.748557283494676,-246.3559999999999,11.585,-22.866,835.9459999999999,1
-0.6207825,-0.76495,0.25794000000000006,3.948891604010032e-05,4.682957393483717e-05,5.2221954887218145e-05,0.006284020690616822,0.006843213713953202,0.007226475966002941,-451.11699999999996,0.273,-0.784,219.15633333333335,0.44648249999999995,-0.6998774999999999,0.562375,0.17073690194862157,1.3703803483646617,0.23519114724310775,0.4132032211256606,1.1706324565655362,0.4849650989948738,123.59200000000001,2.012,-7.805,271.66066666666666,1
